s_(um) X_pre Y_pre X_post Y_post D_normal
29.0170490310 28.9859947573 0.3907925227 28.9706216849 0.4339672663 0.0434618416
29.2288523086 29.1974426121 0.3986742226 29.1824249625 0.4339672663 0.0361882138
29.4406555862 29.4083538914 0.4180922726 29.3942282401 0.4339672663 0.0171031717
29.6524588638 29.6192651707 0.4375103225 29.6060315177 0.4339672663 -0.0027602894
29.8642621414 29.8308275699 0.4429293224 29.8178347953 0.4339672663 -0.0087875039
30.0760654190 30.0426307080 0.4431724468 30.0296380729 0.4339672663 -0.0091902605
30.2878686966 30.2544338460 0.4434155712 30.2412437588 0.4362239379 -0.0071764879
30.4996719742 30.4662369841 0.4436586956 30.4498241419 0.4730322549 0.0293923799
30.7114752518 30.6780401221 0.4439018200 30.6584045250 0.5098405719 0.0659612478
30.9232785294 30.8898432602 0.4441449444 30.8669849081 0.5466488889 0.1025301156
31.1350818070 31.1016463983 0.4443880688 31.0755652911 0.5834572059 0.1390989835
31.3468850846 31.3134495363 0.4446311932 31.2860808142 0.5686879338 0.1240880749
31.5586883622 31.5252526744 0.4448743176 31.4968329361 0.5476125568 0.1027707940
31.7704916398 31.7370558124 0.4451174420 31.7080720018 0.5363002663 0.0912160341
31.9822949174 31.9488589505 0.4453605664 31.9198752794 0.5363002663 0.0909729097
32.1940981950 32.1606620886 0.4456036908 32.1314982164 0.5409960138 0.0954257367
32.4059014726 32.3724652266 0.4458468152 32.3426776150 0.5572407050 0.1114280090
32.6177047502 32.5842683647 0.4460899396 32.5538570136 0.5734853962 0.1274302813
32.8295080278 32.7960715027 0.4463330639 32.7650364123 0.5852044450 0.1389069141
33.0413113054 33.0078746408 0.4465761883 32.9762158109 0.5689597538 0.1224198253
33.2531145830 33.2196777789 0.4468193127 33.1873952096 0.5527150626 0.1059327365
33.4649178606 33.4314809169 0.4470624371 33.3985746082 0.5364703713 0.0894456477
33.6767211382 33.6432840550 0.4473055615 33.6082649193 0.5659400765 0.1186746345
33.8885244158 33.8550871930 0.4475486859 33.8179394726 0.5958935423 0.1483873997
34.1003276934 34.0668903311 0.4477918103 34.0276140259 0.6258470081 0.1781001649
34.3121309710 34.2786934692 0.4480349347 34.2385086133 0.6386332663 0.1906443333
34.5239342486 34.4904966072 0.4482780591 34.4503118909 0.6386332663 0.1904012089
34.7357375261 34.7022997453 0.4485211835 34.6621151685 0.6386332663 0.1901580845
34.9475408037 34.9141028833 0.4487643079 34.8739184461 0.6386332663 0.1899149601
35.1593440813 35.1259060214 0.4490074323 35.0857217237 0.6386332663 0.1896718357
35.3711473589 35.3377091595 0.4492505567 35.2975250013 0.6386332663 0.1894287113
35.5829506365 35.5495122975 0.4494936811 35.5093282789 0.6386332663 0.1891855869
35.7947539141 35.7613154356 0.4497368055 35.7211315565 0.6386332663 0.1889424625
36.0065571917 35.9731185736 0.4499799299 35.9329348341 0.6386332663 0.1886993381
36.2183604693 36.1849217117 0.4502230543 36.1447381117 0.6386332663 0.1884562137
36.4301637469 36.3967248498 0.4504661787 36.3565413893 0.6386332663 0.1890569051
36.6419670245 36.6079302093 0.4601365661 36.5683446669 0.6386332663 0.1812290700
36.8537703021 36.8180676534 0.4866485063 36.7801479445 0.6386332663 0.1550102969
37.0655735797 37.0288900846 0.5023578617 36.9919512221 0.6386332663 0.1375717345
